id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
992465609978982400,https://twitter.com/morseherrick/status/992465609978982400,Fri May 04 18:06:55 +0000 2018,2018-05-04 18:06:55+00:00,morseherrick,"RT @Merry__Can: @kanyewest #KanyeFANS

#RadioStations are dropping #KanyeMusic 

Don't let the #DeepState influence control YOU

#BoycottRa…",retweet,,KanyeFANS RadioStations KanyeMusic DeepState,,,0,,,,en,,,12853,992426080504922115,Merry__Can,1219144500,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4440372735,Thu Dec 10 19:03:08 +0000 2015,FALSE,,39604,2500,4999,1,,Nicole Morse,28176,,,FALSE
992465604949889024,https://twitter.com/kris_andre14/status/992465604949889024,Fri May 04 18:06:53 +0000 2018,2018-05-04 18:06:53+00:00,kris_andre14,"@kanyewest is trying to say that slavery was a choice by humans as a whole, not just any one race. It’s not that we need to forget history, rather that we need to not be specific about what we learn. The reason the world is shitty or ever has been is because we act out of hate.",original,,,,,0,kanyewest,,169686021,en,,,12853,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1973520877,Sun Oct 20 02:01:13 +0000 2013,FALSE,VIVIVI,957,341,421,0,,kris🎴,2672,,,FALSE
9.92466E+17,https://twitter.com/Faamasino1/status/992465596389376000,Fri May 04 18:06:51 +0000 2018,2018-05-04 18:06:51+00:00,Faamasino1,@kanyewest You’re right with the 🙈🙈🙈 emoji! They’re NOT 🔥🔥 just an ugly mess!,reply,,,,,0,kanyewest,987089249605378048,169686021,en,,,12853,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3063310397,Wed Feb 25 20:51:32 +0000 2015,FALSE,,120,42,372,0,,Trumpsucks,468,,,FALSE
992465537727975429,https://twitter.com/Allyyoop_/status/992465537727975429,Fri May 04 18:06:37 +0000 2018,2018-05-04 18:06:37+00:00,Allyyoop_,@kanyewest @ForzaPapac For Steven Gerrard?!,reply,,,,,0,kanyewest,992398514603704320,169686021,en,,,12853,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",159290043,Fri Jun 25 00:12:29 +0000 2010,FALSE,Rum.,677,129,372,2,"Glasgow, Scotland",Ally,1116,Amsterdam,,FALSE
992465513442836480,https://twitter.com/Joe_Varner/status/992465513442836480,Fri May 04 18:06:32 +0000 2018,2018-05-04 18:06:32+00:00,Joe_Varner,"@kanyewest Keep fighting the corrupt media establishment that tries to tear you down and label you as crazy and you will have no shortage of love from those of us supporting you, even if we don't see eye-to-eye in terms of beliefs. You are powerfully representing freethinkers...",reply,,,,,0,kanyewest,992398514603704320,169686021,en,,,12853,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",64482091,Mon Aug 10 18:57:46 +0000 2009,FALSE,Bears fan and lover of all things Star Wars,1705,583,39,7,"Chicago, IL",HK-47,4031,America/Chicago,,FALSE
992465453963456513,https://twitter.com/askslurry/status/992465453963456513,Fri May 04 18:06:17 +0000 2018,2018-05-04 18:06:17+00:00,askslurry,@kanyewest Makes me sad when people try to enslave others. if fans are going to drop you like a hot potato when you support Trump then fuck them they are not fans that you need. I have mad respect for the fact that you are not just another pawn in their game and that you are a FREE THINKER!,reply,,,,,0,kanyewest,989551205780107264,169686021,en,,,12853,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",957339259492483072,Sat Jan 27 19:47:20 +0000 2018,FALSE,"I am an android app character mascot, the Great Slurry! I'm also a loyal Nintendo Fanboy and Cryptocurrency Enthusiast!",61,9,116,1,"Los Angeles, CA",Slurry,66,,https://play.google.com/store/apps/details?id=appinventor.ai_smithjd80.Slurry,FALSE
992465450746380288,https://twitter.com/TII215/status/992465450746380288,Fri May 04 18:06:17 +0000 2018,2018-05-04 18:06:17+00:00,TII215,RT @Jlemere53: @kanyewest Issa movement.      Peace Love &amp; Positivity (Feat. Joey Fata$$) by 69thStreetBoys https://t.co/5cZ2JhlSy4 on #Sou…,retweet,,,,https://soundcloud.com/user-20496373/peace-love-positivity-feat-joey-fata,0,,,,en,,FALSE,12853,992460308663930881,Jlemere53,946795615,"<a href=""https://rocketgraph.com"" rel=""nofollow"">roguekingapp3</a>",3383807110,Sun Jul 19 23:19:42 +0000 2015,FALSE,"For Booking thisisinfinityllc@gmail.com  | IG Tii215_

https://t.co/ml0My64iut | https://t.co/ICq1aGWuDs",1419,3460,2812,13,"Philadelphia, PA",Tii215.com,1453,,http://tii215.com,FALSE
992465439107244032,https://twitter.com/notearschunli/status/992465439107244032,Fri May 04 18:06:14 +0000 2018,2018-05-04 18:06:14+00:00,notearschunli,@kanyewest you’re such a fucking idiot https://t.co/2ytPuziKaf,quote,,,,https://twitter.com/hiphopwired/status/992462133194579968,0,kanyewest,,169686021,en,,FALSE,12853,992462133194579968,HipHopWired,40340946,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",737017757171060740,Sun May 29 20:28:21 +0000 2016,FALSE,state of mind,30540,408,280,20,,💧,16562,Pacific Time (US & Canada),,FALSE
992465436632641537,https://twitter.com/603LiveFree/status/992465436632641537,Fri May 04 18:06:13 +0000 2018,2018-05-04 18:06:13+00:00,603LiveFree,@kanyewest  https://t.co/g4JtV8pZRi,reply,,,https://twitter.com/603LiveFree/status/992465436632641537/photo/1,,0,kanyewest,992404023197224960,169686021,und,,FALSE,12853,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",725861401223401472,Fri Apr 29 01:36:58 +0000 2016,FALSE,"Do not pray for an easy life, pray for the strength to endure a difficult one. - Bruce Lee",2686,41,110,0,New Hampshire,Mike Marino,1721,,,FALSE
992465430794162176,https://twitter.com/Georgesjewels/status/992465430794162176,Fri May 04 18:06:12 +0000 2018,2018-05-04 18:06:12+00:00,Georgesjewels,@kanyewest  https://t.co/tzbE3HTMxq,reply,,,https://twitter.com/Georgesjewels/status/992465430794162176/photo/1,,0,kanyewest,992404023197224960,169686021,und,,FALSE,12853,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",766335723586854913,Thu Aug 18 18:07:29 +0000 2016,FALSE,Creative Director / Designer,1680,124,338,2,"Washington, DC",Georges Jewels 💎™,523,,http://OSSAWA.shop,FALSE
992465390814093318,https://twitter.com/nirvana_simply/status/992465390814093318,Fri May 04 18:06:02 +0000 2018,2018-05-04 18:06:02+00:00,nirvana_simply,@kanyewest Love you Kanye!❤️,reply,,,,,0,kanyewest,992398514603704320,169686021,ht,,,12853,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",990316180484382720,Sat Apr 28 19:45:51 +0000 2018,FALSE,Androgynous Sex Appeal,22,6,17,0,,Venus,5,,,FALSE
992465323340259328,https://twitter.com/Edgaralanpown/status/992465323340259328,Fri May 04 18:05:46 +0000 2018,2018-05-04 18:05:46+00:00,Edgaralanpown,@kanyewest I support Kanye and applaud his bravery to stand up for what he believes in regardless of the social uproar.,original,,,,,0,kanyewest,,169686021,en,,,12853,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",361011018,Wed Aug 24 03:16:11 +0000 2011,FALSE,"Heart stronger then its ever been, strong willed till my journey ends",371,118,68,0,,Seth Mortimore,127,,,FALSE
992465300841877504,https://twitter.com/GinoLaurent_/status/992465300841877504,Fri May 04 18:05:41 +0000 2018,2018-05-04 18:05:41+00:00,GinoLaurent_,RT @Dirtyballs500: @kanyewest Alternate video the media isn't showing follow me I follow back https://t.co/n9K3ZWtHfN,retweet,,,https://twitter.com/Dirtyballs500/status/991456854265008129/video/1,,0,,,,en,,FALSE,12853,991456854265008129,Dirtyballs500,907828672895352833,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",619433761,Tue Jun 26 21:17:31 +0000 2012,FALSE,you’ll be freed one day.,23387,6116,3200,32,Pluto,GINO,56888,Eastern Time (US & Canada),https://www.instagram.com/p/BfW-oYZBPQg/,FALSE
992465224631451649,https://twitter.com/PamelaB98884515/status/992465224631451649,Fri May 04 18:05:23 +0000 2018,2018-05-04 18:05:23+00:00,PamelaB98884515,RT @MagaApplePie: @kanyewest  https://t.co/T2SF4l1lE6,retweet,,,https://twitter.com/MagaApplePie/status/991114005422006272/video/1,,0,,,,und,,FALSE,12853,991114005422006272,MagaApplePie,710892812192124929,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",868457418539372544,Sat May 27 13:22:38 +0000 2017,TRUE,,58584,329,460,0,,PB,20072,,,FALSE
992465196479320065,https://twitter.com/brendasabater_/status/992465196479320065,Fri May 04 18:05:16 +0000 2018,2018-05-04 18:05:16+00:00,brendasabater_,@kanyewest You have issues bro.,reply,,,,,0,kanyewest,992404023197224960,169686021,en,,,12853,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",981108454793367553,Tue Apr 03 09:57:38 +0000 2018,FALSE,,1896,153,145,0,,B.,1169,,http://Instagram.com/brendasabater,FALSE
992465128229662720,https://twitter.com/OneSkyrynel/status/992465128229662720,Fri May 04 18:05:00 +0000 2018,2018-05-04 18:05:00+00:00,OneSkyrynel,@kanyewest Good because a few of us actually understand what you’re saying. I pray for your safety and the safety of your family.,reply,,,,,0,kanyewest,992398514603704320,169686021,en,,,12853,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3223588752,Fri May 22 20:29:17 +0000 2015,FALSE,"Film Producer, Writer, Director,",1194,158,557,3,United States,shannontharpofficial,652,,,FALSE
992465118880583682,https://twitter.com/LILUGLYKIKI/status/992465118880583682,Fri May 04 18:04:58 +0000 2018,2018-05-04 18:04:58+00:00,LILUGLYKIKI,RT @ItsTheRealLogic: @kanyewest ICON- Kim K West. Art by me. https://t.co/xXV7TfBcQ9,retweet,,,https://twitter.com/ItsTheRealLogic/status/992399592460189696/photo/1,,0,,,,en,,FALSE,12853,992399592460189696,ItsTheRealLogic,2845691742,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",992407098540601344,Fri May 04 14:14:25 +0000 2018,FALSE,,10,16,20,0,,rae sremmurd surcoté,46,Pacific Time (US & Canada),,FALSE
992465108755509248,https://twitter.com/LILUGLYKIKI/status/992465108755509248,Fri May 04 18:04:55 +0000 2018,2018-05-04 18:04:55+00:00,LILUGLYKIKI,RT @ItsTheRealLogic: @kanyewest Made u art https://t.co/vRM3ZKKYn4,retweet,,,https://twitter.com/ItsTheRealLogic/status/992398604802211840/photo/1,,0,,,,en,,FALSE,12853,992398604802211840,ItsTheRealLogic,2845691742,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",992407098540601344,Fri May 04 14:14:25 +0000 2018,FALSE,,10,16,20,0,,rae sremmurd surcoté,46,Pacific Time (US & Canada),,FALSE
992465098089422849,https://twitter.com/AnGeeB_Lyke/status/992465098089422849,Fri May 04 18:04:53 +0000 2018,2018-05-04 18:04:53+00:00,AnGeeB_Lyke,"@kanyewest You should! We still love you, we're just waiting for the Through The Wire Kayne To reappear...",reply,,,,,0,kanyewest,992398514603704320,169686021,en,,,12853,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",801632892505956352,Thu Nov 24 03:45:50 +0000 2016,FALSE,"May we live for the ancestors, as the ancestors died for us ✊🏽✊🏽",20,11,38,0,,😘AnGeeB😘,23,,,FALSE
992465091844018181,https://twitter.com/ReneBois/status/992465091844018181,Fri May 04 18:04:51 +0000 2018,2018-05-04 18:04:51+00:00,ReneBois,"@kanyewest I agree with some of the points you were trying to convey, but at the same time I can not grasp my head around the fact that you think our ancestors were slaves by choice. I think it was by fear. I would love to have a heart on heart with you on our show #STRAIGHTLIKETHAT",reply,,STRAIGHTLIKETHAT,,,0,kanyewest,992398514603704320,169686021,en,,,12853,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3066002155,Sat Mar 07 05:49:16 +0000 2015,FALSE,,29,15,138,0,,Rene Bois,17,,,FALSE
992465083660947456,https://twitter.com/spurs4eva1965/status/992465083660947456,Fri May 04 18:04:49 +0000 2018,2018-05-04 18:04:49+00:00,spurs4eva1965,RT @solentgreenis: @kanyewest is pissed at the status quo and the failed Liberal agenda......time to blow the motherf*cker up! https://t.co…,retweet,,,,,0,,,,en,,,12853,992384343610937345,solentgreenis,858130549994598400,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",780131886,Sat Aug 25 11:34:47 +0000 2012,FALSE,"Life is choices. #Trump2020
#MAGA 
#Generatnation
#patriot
I support Tommy Robinson GOP
#trumptrain #120db
#buildthewall
Melissa Griffin@Vamp_Diaries fm😀
#COYS",51886,4718,5138,6,"Leigh, England",matt,57858,,,FALSE
